,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9,standard deviation 9,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
0,3.7,1.6392580608878475,1.7277669902912622,3.7,1.6392580608878475,0.6155339805825243,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.1017475728155339,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.9157281553398058,4.7,1.7718351005007222,0.0,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,50.0,42.52114587788064,"[1, 6, 2, 4, 7]",0.6178,0.5673,0.7675,,0.16870000000000007,0.6818916734033956,"(60.0, 250.0)",190.0,77
1,3.7,1.6392580608878475,0.9846232876712327,3.7,1.6392580608878475,0.0,4.8,1.7831766905349025,1.7123287671232875e-05,4.8,1.7831766905349025,6.84931506849315e-05,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.9899486301369864,4.7,1.7718351005007222,0.0,0.0,0.0,,,6.7,1.9560795557458144,1.973458904109589,1.9,1.236215133788839,1.0435616438356166,9.3,2.1145979525948126,11.539640410958905,6.0,1.9002415406058841,1.798904109589041,2.7,1.4543211368701219,0.0,0.9,0.7702771223902047,0.0,6.0,1.9002415406058841,0.0,9.3,2.1145979525948126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,0.0,0.0,0.0,15.0,18.330222602739727,"[12, 10, 13, 11, 6]",0.7311000000000001,0.5096,0.6023000000000001,0.5124,0.03839999999999988,0.7680000000000068,"(20.0, 95.0)",75.0,88
2,3.7,1.6392580608878475,1.3815384615384616,3.7,1.6392580608878475,0.816923076923077,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0807692307692307,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.3161538461538462,4.7,1.7718351005007222,0.0023076923076923,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,45.0,41.75806148654382,"[1, 2, 6, 4, 7]",0.5913999999999999,0.6561,0.7074,0.9223,0.16530000000000022,0.5897252943275071,"(60.0, 240.0)",180.0,96
3,3.7,1.6392580608878475,1.9776286353467565,3.7,1.6392580608878475,29.677852348993287,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,6.930648769574944,4.7,1.7718351005007222,0.0,0.0,0.0,,,6.7,1.9560795557458144,6.883668903803132,1.9,1.236215133788839,3.024608501118568,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,0.0044742729306487,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,90.0,82.36540056320703,"[2, 6, 10, 11, 1]",0.7347,0.49950000000000006,0.638,0.5843,0.04690000000000005,0.5804455445544546,"(125.0, 465.0)",340.0,108
4,3.7,1.6392580608878475,0.7373333333333333,3.7,1.6392580608878475,8.208333333333334,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,2.704,4.7,1.7718351005007222,0.0,0.0,0.0,,,6.7,1.9560795557458144,2.388,1.9,1.236215133788839,1.0513333333333332,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,60.0,49.982762239839914,"[2, 6, 10, 11, 1]",0.6729,0.5185,0.6405000000000001,0.5671999999999999,0.04330000000000023,0.6124469589816139,"(75.0, 295.0)",220.0,110
5,3.7,1.6392580608878475,0.593,3.7,1.6392580608878475,8.919,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,2.7636666666666665,4.7,1.7718351005007222,6.939860467177937,0.0,0.0,,,6.7,1.9560795557458144,2.912,1.9,1.236215133788839,1.0146666666666666,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,65.0,58.03595604035118,"[2, 7, 6, 10, 1]",0.5415,0.6468,0.49119999999999997,0.7392000000000001,0.03930000000000011,0.6442622950819701,"(95.0, 350.0)",255.0,111
6,3.7,1.6392580608878475,8.368387096774194,3.7,1.6392580608878475,0.0109677419354838,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0397204301075268,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,1.6566666666666667,4.7,1.7718351005007222,6.939860467177937,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,80.0,56.17597158151332,"[1, 6, 4, 2, 5]",0.7545999999999999,0.9399,0.7024,,0.47119999999999995,0.7220349371743794,"(90.0, 325.0)",235.0,119
7,3.7,1.6392580608878475,0.710231884057971,3.7,1.6392580608878475,0.0,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0137246376811594,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.5217391304347826,4.7,1.7718351005007222,6.939860467177937,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,65.0,47.34592529820336,"[1, 6, 4, 5, 3]",0.5561,0.9337,,,0.49770000000000003,0.8785525154457193,"(70.0, 280.0)",210.0,138
8,3.7,1.6392580608878475,6.714535901926445,3.7,1.6392580608878475,12.936952714535902,4.8,1.7831766905349025,0.0008756567425569,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.2162872154115586,4.7,1.7718351005007222,6.939860467177937,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,115.0,65.96888113464591,"[2, 1, 6, 3, 5]",0.6099,0.9302,0.9882,,0.5381,0.815921152388173,"(110.0, 380.0)",270.0,141
9,3.7,1.6392580608878475,57.72336201191264,3.7,1.6392580608878475,0.1191264063534083,4.8,1.7831766905349025,28.087359364659164,4.8,1.7831766905349025,9.238914626075449,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,6.604897418927862,4.7,1.7718351005007222,16.61151555261416,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,200.0,157.54554455939422,"[1, 3, 7, 4, 6]",0.6092,0.5892,0.5922000000000001,0.5555,0.03379999999999983,0.6601562499999992,"(260.0, 845.0)",585.0,149
10,3.7,1.6392580608878475,11.105,3.7,1.6392580608878475,0.1883333333333333,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,8.453333333333333,4.7,1.7718351005007222,43.54333333333334,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,125.0,102.45036917885152,"[7, 1, 6, 2, 5]",0.7101,0.5574,0.946,,0.29469999999999996,0.7235452983059171,"(155.0, 580.0)",425.0,154
11,3.7,1.6392580608878475,1.750909090909091,3.7,1.6392580608878475,0.1990909090909091,4.8,1.7831766905349025,1.0154545454545454,4.8,1.7831766905349025,0.0209090909090909,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,2.2345454545454544,4.7,1.7718351005007222,6.939860467177937,0.0,0.0,,,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,65.0,51.321138736938536,"[6, 1, 3, 2, 4]",0.5502,0.5867,0.7404999999999999,0.8282,0.1077999999999999,0.5884279475982533,"(85.0, 306.25)",221.25,158
