,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,mean 9a,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
0,7.6,2.0182817819387053,1.7277669902912622,3.7,1.6392580608878475,0.6155339805825243,4.8,1.7831766905349025,0.0,12.4,2.2454121069042787,0.1017475728155339,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.9157281553398058,8.2,2.055001436297168,0.0,0.0,0.0,6.7,1.9560795557458144,30.88445844998943,8.9,2.0939551560095153,3.105459247997264,3.0,1.5174271293851465,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,6.7,1.9560795557458144,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.9560795557458144,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,85.0,73.40560432787007,"[1, 6, 2, 4, 7]",0.5861000000000001,0.5633,0.7407,,0.1469999999999999,0.594179466451091,"(120.0, 545.0)",425.0,77
1,7.6,2.0182817819387053,0.9846232876712327,3.7,1.6392580608878475,0.0,4.8,1.7831766905349025,1.7123287671232875e-05,4.8,1.7831766905349025,6.84931506849315e-05,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.9899486301369864,8.2,2.055001436297168,0.0,0.0,0.0,6.7,1.9560795557458144,60.9026198630137,8.9,2.0939551560095153,1.973458904109589,3.0,1.5174271293851465,1.0435616438356166,12.9,2.262840227110101,11.539640410958905,6.0,1.9002415406058841,1.798904109589041,2.7,1.4543211368701219,0.0,0.9,0.7702771223902047,0.0,11.4,2.2079157441041266,0.0,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.9560795557458144,0.0,6.0,1.9002415406058841,0.0,0.0,0.0,45.0,79.23284246575344,"[9, 12, 10, 13, 1]",0.7137,0.7161,0.5135000000000001,0.5805,0.06650000000000023,,"(70.0, 440.0)",370.0,88
2,3.7,1.6392580608878475,1.3815384615384616,3.7,1.6392580608878475,0.816923076923077,4.8,1.7831766905349025,0.0,31.5,2.6269720962916048,0.0807692307692307,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.3161538461538462,8.2,2.055001436297168,0.0023076923076923,0.0,0.0,6.7,1.9560795557458144,30.88445844998943,6.7,1.9560795557458144,3.105459247997264,3.0,1.5174271293851465,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,110.0,72.64251993653325,"[1, 2, 6, 4, 7]",0.5878,0.6543,0.6759,0.8596,0.13760000000000006,0.4909026043524797,"(110.0, 506.25)",396.25,96
3,16.8,2.376193299120165,1.9776286353467565,3.7,1.6392580608878475,29.677852348993287,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,6.930648769574944,8.2,2.055001436297168,0.0,0.0,0.0,8.9,2.0939551560095153,17.370246085011185,8.9,2.0939551560095153,6.883668903803132,1.9,1.236215133788839,3.024608501118568,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,0.0044742729306487,6.7,1.9560795557458144,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,100.0,99.73564664821821,"[2, 9, 6, 10, 11]",0.5787,0.6211,0.5076,0.6359,0.027100000000000457,0.3353960396039652,"(190.0, 690.0)",500.0,108
4,3.7,1.6392580608878475,0.7373333333333333,7.6,2.0182817819387053,8.208333333333334,8.8,2.0886201189608764,0.0,12.4,2.2454121069042787,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,2.704,8.2,2.055001436297168,0.0,0.0,0.0,8.9,2.0939551560095153,6.5873333333333335,6.7,1.9560795557458144,2.388,8.9,2.0939551560095153,1.0513333333333332,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,6.7,1.9560795557458144,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,95.0,56.57009557317324,"[2, 9, 6, 10, 11]",0.5334,0.6186,0.521,0.6095999999999999,0.030099999999999905,0.42574257425742323,"(115.0, 450.0)",335.0,110
5,16.8,2.376193299120165,0.593,3.7,1.6392580608878475,8.919,4.8,1.7831766905349025,0.0,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,2.7636666666666665,8.2,2.055001436297168,6.939860467177937,0.0,0.0,9.3,2.1145979525948126,6.3196666666666665,9.3,2.1145979525948126,2.912,8.9,2.0939551560095153,1.0146666666666666,9.3,2.1145979525948126,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,150.0,64.35562270701784,"[2, 7, 6, 9, 10]",0.536,0.6427,0.3788,0.6085,0.01440000000000008,0.23606557377049348,"(140.0, 490.0)",350.0,111
6,7.6,2.0182817819387053,8.368387096774194,7.6,2.0182817819387053,0.0109677419354838,4.8,1.7831766905349025,0.0,12.4,2.2454121069042787,0.0397204301075268,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,1.6566666666666667,8.2,2.055001436297168,6.939860467177937,0.0,0.0,6.7,1.9560795557458144,30.88445844998943,6.7,1.9560795557458144,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.4543211368701219,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,125.0,87.06043003150275,"[1, 6, 4, 2, 5]",0.7134,0.8958,0.6653,,0.38470000000000004,0.589488201041986,"(160.0, 610.0)",450.0,119
7,7.6,2.0182817819387053,0.710231884057971,9.3,2.1145979525948126,0.0,8.8,2.0886201189608764,0.0,12.4,2.2454121069042787,0.0137246376811594,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.5217391304347826,8.2,2.055001436297168,6.939860467177937,0.0,0.0,6.7,1.9560795557458144,30.88445844998943,9.3,2.1145979525948126,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.9560795557458144,0.0,6.0,1.9002415406058841,1.8515461840767222,0.0,0.0,95.0,78.23038374819279,"[1, 6, 4, 5, 3]",0.5461,0.91,,,0.4738,0.8363636363636363,"(130.0, 585.0)",455.0,138
8,3.7,1.6392580608878475,6.714535901926445,9.3,2.1145979525948126,12.936952714535902,8.8,2.0886201189608764,0.0008756567425569,4.8,1.7831766905349025,0.0,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,0.2162872154115586,4.7,1.7718351005007222,6.939860467177937,0.0,0.0,6.7,1.9560795557458144,30.88445844998943,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,2.7,1.4543211368701219,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,9.3,2.1145979525948126,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.9560795557458144,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,155.0,96.85333958463535,"[2, 1, 6, 3, 5]",0.5885,0.9277,0.9804,,0.5137,0.7789234268385141,"(185.0, 700.0)",515.0,141
9,16.8,2.376193299120165,57.72336201191264,7.6,2.0182817819387053,0.1191264063534083,8.8,2.0886201189608764,28.087359364659164,12.4,2.2454121069042787,9.238914626075449,6.0,1.9002415406058841,0.0,3.9,1.669020172360893,6.604897418927862,8.2,2.055001436297168,16.61151555261416,0.0,0.0,8.9,2.0939551560095153,30.88445844998943,8.9,2.0939551560095153,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,9.3,2.1145979525948126,5.390844687051973,6.0,1.9002415406058841,1.027243108400224,6.7,1.9560795557458144,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,6.0,1.9002415406058841,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.9560795557458144,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,260.0,188.43000300938365,"[1, 3, 7, 4, 6]",0.5989,0.5684,0.5737,0.5472,0.027800000000000158,0.5429687500000052,"(400.0, 1700.0)",1300.0,149
