,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9,standard deviation 9,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
0,16.8,2.376193299120165,1.7277669902912622,9.3,2.1145979525948126,0.6155339805825243,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.1017475728155339,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.9157281553398058,8.2,2.055001436297168,0.0,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,75.0,42.52114587788064,"[1, 6, 2, 4, 7]",0.5786,0.5549,0.6979,,0.13359999999999983,0.5400161681487463,"(85.0, 385.0)",300.0,77
1,16.8,2.376193299120165,0.9846232876712327,9.3,2.1145979525948126,0.0,8.8,2.0886201189608764,1.7123287671232875e-05,31.5,2.6269720962916048,6.84931506849315e-05,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.9899486301369864,8.2,2.055001436297168,0.0,0.0,0.0,,,9.3,2.1145979525948126,1.973458904109589,8.9,2.0939551560095153,1.0435616438356166,12.9,2.262840227110101,11.539640410958905,11.4,2.2079157441041266,1.798904109589041,9.3,2.1145979525948126,0.0,0.9,0.7702771223902047,0.0,11.4,2.2079157441041266,0.0,12.9,2.262840227110101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,0.0,0.0,0.0,10.0,18.330222602739727,"[12, 10, 13, 11, 1]",0.7153,0.5094000000000001,0.5746,0.5028,0.028799999999999937,0.5760000000000056,"(25.0, 140.0)",115.0,88
2,16.8,2.376193299120165,1.3815384615384616,9.3,2.1145979525948126,0.816923076923077,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0807692307692307,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.3161538461538462,8.2,2.055001436297168,0.0023076923076923,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,55.0,41.75806148654382,"[1, 2, 6, 4, 7]",0.5615,0.6285000000000001,0.6617,0.8553999999999999,0.10709999999999986,0.38209061719586107,"(75.0, 370.0)",295.0,96
3,16.8,2.376193299120165,1.9776286353467565,9.3,2.1145979525948126,29.677852348993287,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,6.930648769574944,8.2,2.055001436297168,0.0,0.0,0.0,,,9.3,2.1145979525948126,6.883668903803132,8.9,2.0939551560095153,3.024608501118568,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,0.0044742729306487,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,145.0,82.36540056320703,"[2, 6, 10, 11, 1]",0.6910000000000001,0.5021,0.5992,0.5529,0.03510000000000002,0.43440594059405857,"(155.0, 725.0)",570.0,108
4,16.8,2.376193299120165,0.7373333333333333,9.3,2.1145979525948126,8.208333333333334,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,2.704,8.2,2.055001436297168,0.0,0.0,0.0,,,9.3,2.1145979525948126,2.388,8.9,2.0939551560095153,1.0513333333333332,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,95.0,49.982762239839914,"[2, 6, 10, 11, 1]",0.6437999999999999,0.5184,0.6172,0.5431,0.03420000000000012,0.4837340876944841,"(100.0, 450.0)",350.0,110
5,16.8,2.376193299120165,0.593,9.3,2.1145979525948126,8.919,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,2.7636666666666665,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,2.912,8.9,2.0939551560095153,1.0146666666666666,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,70.0,58.03595604035118,"[2, 7, 6, 10, 1]",0.5307,0.629,0.49319999999999997,0.6942999999999999,0.034499999999999864,0.565573770491802,"(125.0, 515.0)",390.0,111
6,16.8,2.376193299120165,8.368387096774194,9.3,2.1145979525948126,0.0109677419354838,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0397204301075268,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,1.6566666666666667,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,105.0,56.17597158151332,"[1, 6, 4, 2, 5]",0.6921999999999999,0.873,0.6584,,0.3446,0.5280416794361018,"(120.0, 520.0)",400.0,119
7,16.8,2.376193299120165,0.710231884057971,9.3,2.1145979525948126,0.0,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0137246376811594,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.5217391304347826,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,65.0,47.34592529820336,"[1, 6, 4, 5, 3]",0.5431,0.8619,,,0.4354,0.7685789938217122,"(90.0, 400.0)",310.0,138
8,16.8,2.376193299120165,6.714535901926445,9.3,2.1145979525948126,12.936952714535902,8.8,2.0886201189608764,0.0008756567425569,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.2162872154115586,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,130.0,65.96888113464591,"[2, 1, 6, 3, 5]",0.5813999999999999,0.8652,0.9711,,0.4437,0.6727824109173617,"(145.0, 630.0)",485.0,141
9,16.8,2.376193299120165,57.72336201191264,9.3,2.1145979525948126,0.1191264063534083,8.8,2.0886201189608764,28.087359364659164,31.5,2.6269720962916048,9.238914626075449,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,6.604897418927862,8.2,2.055001436297168,16.61151555261416,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,275.0,157.54554455939422,"[1, 3, 7, 4, 6]",0.5828,0.5758,0.5661,0.5312,0.025399999999999756,0.49609374999999717,"(345.0, 1590.0)",1245.0,149
