,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,mean 9a,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
0,1.4,1.0417241805468322,1.7277669902912622,1.4,1.0417241805468322,0.6155339805825243,2.2,1.328431705749353,0.0,10.8,2.183490122186449,0.1017475728155339,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,0.9157281553398058,2.2,1.328431705749353,0.0,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,2.6,1.4314266778969602,3.105459247997264,0.9,0.7702771223902047,1.1611476910143386,4.0,1.6832151805566085,5.390844687051973,3.0,1.5174271293851465,1.027243108400224,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,100.0,73.40560432787007,"[1, 6, 2, 4, 7]",0.6283000000000001,0.5833999999999999,0.7719,,0.18059999999999998,1,"(85.0, 265.0)",180.0,77
1,3.9,1.669020172360893,0.9846232876712327,1.4,1.0417241805468322,0.0,3.9,1.669020172360893,1.7123287671232875e-05,2.2,1.328431705749353,6.84931506849315e-05,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,0.9899486301369864,4.2,1.710353708815064,0.0,0.0,0.0,2.6,1.4314266778969602,60.9026198630137,3.6,1.6236366888359681,1.973458904109589,1.9,1.236215133788839,1.0435616438356166,4.8,1.7831766905349025,11.539640410958905,3.0,1.5174271293851465,1.798904109589041,2.6,1.4314266778969602,0.0,0.9,0.7702771223902047,0.0,5.8,1.8828194506362617,0.0,4.0,1.6832151805566085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,0.0,0.0,0.0,45.0,79.23284246575344,"[9, 12, 10, 13, 11]",0.7686,0.7732,0.5195000000000001,0.6125,0.08869999999999989,1,"(65.0, 255.0)",190.0,88
2,1.4,1.0417241805468322,1.3815384615384616,1.4,1.0417241805468322,0.816923076923077,2.2,1.328431705749353,0.0,5.0,1.8050198165176699,0.0807692307692307,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,0.3161538461538462,4.2,1.710353708815064,0.0023076923076923,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,60.0,72.64251993653325,"[1, 2, 6, 4, 7]",0.64,0.7361,0.7469,0.9254,0.25170000000000003,1,"(90.0, 285.0)",195.0,96
3,2.7,1.4543211368701219,1.9776286353467565,3.9,1.669020172360893,29.677852348993287,2.2,1.328431705749353,0.0,5.0,1.8050198165176699,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,6.930648769574944,4.2,1.710353708815064,0.0,0.0,0.0,4.8,1.7831766905349025,17.370246085011185,3.6,1.6236366888359681,6.883668903803132,3.6,1.6236366888359681,3.024608501118568,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,0.0044742729306487,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4314266778969602,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,130.0,99.73564664821821,"[2, 9, 6, 10, 11]",0.5902000000000001,0.6453,0.5028,0.6337999999999999,0.03840000000000021,1,"(150.0, 475.0)",325.0,108
4,1.4,1.0417241805468322,0.7373333333333333,1.4,1.0417241805468322,8.208333333333334,3.9,1.669020172360893,0.0,5.0,1.8050198165176699,0.0,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,2.704,2.2,1.328431705749353,0.0,0.0,0.0,2.6,1.4314266778969602,6.5873333333333335,3.6,1.6236366888359681,2.388,0.9,0.7702771223902047,1.0513333333333332,4.0,1.6832151805566085,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,75.0,56.57009557317324,"[2, 9, 6, 10, 11]",0.5408,0.6890000000000001,0.523,0.6782,0.037699999999999845,1,"(75.0, 210.0)",135.0,110
5,2.7,1.4543211368701219,0.593,1.4,1.0417241805468322,8.919,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,2.7636666666666665,2.2,1.328431705749353,6.939860467177937,0.0,0.0,3.6,1.6236366888359681,6.3196666666666665,4.8,1.7831766905349025,2.912,0.9,0.7702771223902047,1.0146666666666666,4.0,1.6832151805566085,5.390844687051973,3.0,1.5174271293851465,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,95.0,64.35562270701784,"[2, 7, 9, 6, 10]",0.5562,0.5204,0.6387,0.493,0.022699999999999942,1,"(95.0, 240.0)",145.0,111
6,1.4,1.0417241805468322,8.368387096774194,2.0,1.2686362411795196,0.0109677419354838,3.9,1.669020172360893,0.0,2.2,1.328431705749353,0.0397204301075268,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,1.6566666666666667,4.2,1.710353708815064,6.939860467177937,0.0,0.0,3.6,1.6236366888359681,30.88445844998943,2.6,1.4314266778969602,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,1.4,1.0417241805468322,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,90.0,87.06043003150275,"[1, 6, 4, 2, 5]",0.7959,0.9609,0.7556,,0.5593999999999999,1,"(120.0, 355.0)",235.0,119
7,1.4,1.0417241805468322,0.710231884057971,1.4,1.0417241805468322,0.0,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0137246376811594,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,0.5217391304347826,4.2,1.710353708815064,6.939860467177937,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,0.9,0.7702771223902047,1.1611476910143386,4.0,1.6832151805566085,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,1.4,1.0417241805468322,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4314266778969602,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,90.0,78.23038374819279,"[1, 6, 4, 5, 3]",0.5775,0.9319999999999999,,,0.521,1,"(105.0, 350.0)",245.0,138
8,2.7,1.4543211368701219,6.714535901926445,1.4,1.0417241805468322,12.936952714535902,2.2,1.328431705749353,0.0008756567425569,5.0,1.8050198165176699,0.0,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,0.2162872154115586,2.2,1.328431705749353,6.939860467177937,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,2.6,1.4314266778969602,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,3.0,1.5174271293851465,1.027243108400224,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,115.0,96.85333958463535,"[2, 1, 6, 3, 5]",0.6352,0.9679,0.9986,,0.6027,1,"(125.0, 325.0)",200.0,141
9,1.4,1.0417241805468322,57.72336201191264,3.9,1.669020172360893,0.1191264063534083,3.9,1.669020172360893,28.087359364659164,5.0,1.8050198165176699,9.238914626075449,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,6.604897418927862,2.2,1.328431705749353,16.61151555261416,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,0.9,0.7702771223902047,1.1611476910143386,4.0,1.6832151805566085,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4314266778969602,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,280.0,188.43000300938365,"[1, 3, 7, 4, 6]",0.6491,0.5941000000000001,0.6003000000000001,0.5645,0.03790000000000027,1,"(265.0, 635.0)",370.0,149
10,1.4,1.0417241805468322,11.105,1.4,1.0417241805468322,0.1883333333333333,2.2,1.328431705749353,0.0,10.8,2.183490122186449,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,8.453333333333333,2.2,1.328431705749353,43.54333333333334,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,180.0,133.3348276288409,"[7, 1, 6, 2, 5]",0.7906,0.5525,0.9751,,0.37939999999999996,1,"(180.0, 510.0)",330.0,154
11,1.4,1.0417241805468322,1.750909090909091,1.4,1.0417241805468322,0.1990909090909091,2.2,1.328431705749353,1.0154545454545454,5.0,1.8050198165176699,0.0209090909090909,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,2.2345454545454544,2.2,1.328431705749353,6.939860467177937,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4314266778969602,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,105.0,82.20559718692796,"[6, 1, 3, 2, 4]",0.5566,0.6284000000000001,0.8324,0.8555,0.16480000000000006,1,"(110.0, 315.0)",205.0,158
12,1.4,1.0417241805468322,5.0594358745319,1.4,1.0417241805468322,0.572164771360841,2.2,1.328431705749353,0.0,5.0,1.8050198165176699,0.1233723846497406,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,1.0473769196413234,2.2,1.328431705749353,6.939860467177937,0.0,0.0,3.6,1.6236366888359681,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4314266778969602,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,75.0,83.78703804620268,"[1, 6, 2, 4, 5]",0.7856,0.6184000000000001,0.7621,,0.2842,1,"(110.0, 330.0)",220.0,175
13,2.7,1.4543211368701219,10.053156146179402,1.4,1.0417241805468322,0.479829140958709,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0925486473659231,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,1.0436639772187946,2.2,1.328431705749353,6.939860467177937,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,2.6,1.4314266778969602,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.0,1.6832151805566085,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,1.4,1.0417241805468322,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4314266778969602,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,105.0,88.65388600774172,"[1, 6, 2, 4, 5]",0.848,0.6506000000000001,0.7574,,0.3579,1,"(115.0, 325.0)",210.0,176
14,1.4,1.0417241805468322,12.33165137614679,1.4,1.0417241805468322,0.3903669724770642,2.2,1.328431705749353,0.0,5.0,1.8050198165176699,0.05,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,1.034862385321101,4.2,1.710353708815064,6.939860467177937,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,2.6,1.4314266778969602,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,115.0,90.79156882996385,"[1, 6, 2, 4, 5]",0.9515,0.734,0.8402000000000001,,0.5533,1,"(120.0, 335.0)",215.0,179
15,2.7,1.4543211368701219,4.598870056497175,1.4,1.0417241805468322,0.3709981167608286,2.2,1.328431705749353,0.0,2.2,1.328431705749353,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,2.15819209039548,2.2,1.328431705749353,6.939860467177937,0.0,0.0,2.6,1.4314266778969602,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,1.9,1.236215133788839,1.1611476910143386,4.0,1.6832151805566085,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,3.0,1.5174271293851465,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,100.0,84.11274835967237,"[1, 6, 2, 5, 4]",0.6312,0.8149,,,0.45629999999999993,1,"(115.0, 315.0)",200.0,180
16,1.4,1.0417241805468322,0.0066445182724252,1.4,1.0417241805468322,11.079734219269104,2.2,1.328431705749353,0.0008305647840531,2.2,1.328431705749353,0.0,3.0,1.5174271293851465,0.0,1.6,1.1268365209132776,0.2167774086378737,4.2,1.710353708815064,6.939860467177937,0.0,0.0,3.6,1.6236366888359681,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,0.9,0.7702771223902047,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,3.0,1.5174271293851465,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.0,1.6832151805566085,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0417241805468322,0.0,3.0,1.5174271293851465,1.8515461840767222,0.0,0.0,110.0,88.28867480698234,"[2, 6, 1, 3, 5]",0.9948,0.9889,0.8935,,0.8778,1,"(120.0, 360.0)",240.0,187
