,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,mean 9a,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
0,3.9,1.669020172360893,1.7277669902912622,3.9,1.669020172360893,0.6155339805825243,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.1017475728155339,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,0.9157281553398058,4.2,1.710353708815064,0.0,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,85.0,73.40560432787007,"[1, 6, 2, 4, 7]",0.6083000000000001,0.5645,0.7394000000000001,,0.15790000000000004,0.6300877893056669,"(100.0, 360.0)",260.0,77
1,3.9,1.669020172360893,0.9846232876712327,3.9,1.669020172360893,0.0,3.9,1.669020172360893,1.7123287671232875e-05,10.8,2.183490122186449,6.84931506849315e-05,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,0.9899486301369864,4.2,1.710353708815064,0.0,0.0,0.0,4.8,1.7831766905349025,60.9026198630137,4.8,1.7831766905349025,1.973458904109589,3.6,1.6236366888359681,1.0435616438356166,4.8,1.7831766905349025,11.539640410958905,5.8,1.8828194506362617,1.798904109589041,4.8,1.7831766905349025,0.0,0.9,0.7702771223902047,0.0,5.8,1.8828194506362617,0.0,4.8,1.7831766905349025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,0.0,0.0,0.0,40.0,79.23284246575344,"[9, 12, 10, 13, 11]",0.7419,0.7599,0.509,0.5871999999999999,0.0752999999999997,0.8451178451178427,"(65.0, 315.0)",250.0,88
2,3.9,1.669020172360893,1.3815384615384616,3.9,1.669020172360893,0.816923076923077,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0807692307692307,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,0.3161538461538462,4.2,1.710353708815064,0.0023076923076923,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,90.0,72.64251993653325,"[1, 2, 6, 4, 7]",0.5779000000000001,0.6694,0.6888000000000001,0.9006,0.14860000000000018,0.5111799105607158,"(100.0, 355.0)",255.0,96
3,3.9,1.669020172360893,1.9776286353467565,3.9,1.669020172360893,29.677852348993287,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,6.930648769574944,4.2,1.710353708815064,0.0,0.0,0.0,4.8,1.7831766905349025,17.370246085011185,4.8,1.7831766905349025,6.883668903803132,3.6,1.6236366888359681,3.024608501118568,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,0.0044742729306487,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,185.0,99.73564664821821,"[2, 9, 10, 6, 11]",0.5856,0.6351,0.4948,0.6412,0.03660000000000019,0.7106796116504904,"(160.0, 485.0)",325.0,108
4,3.9,1.669020172360893,0.7373333333333333,3.9,1.669020172360893,8.208333333333334,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,2.704,4.2,1.710353708815064,0.0,0.0,0.0,4.8,1.7831766905349025,6.5873333333333335,4.8,1.7831766905349025,2.388,3.6,1.6236366888359681,1.0513333333333332,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,115.0,56.57009557317324,"[2, 9, 6, 10, 11]",0.5365,0.6429,0.5232,0.6245,0.034499999999999975,0.8518518518518534,"(90.0, 285.0)",195.0,110
5,3.9,1.669020172360893,0.593,3.9,1.669020172360893,8.919,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,2.7636666666666665,4.2,1.710353708815064,6.939860467177937,0.0,0.0,4.8,1.7831766905349025,6.3196666666666665,4.8,1.7831766905349025,2.912,3.6,1.6236366888359681,1.0146666666666666,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,105.0,64.35562270701784,"[2, 7, 9, 6, 10]",0.5431,0.5157,0.6397999999999999,0.48419999999999996,0.021500000000000075,0.8884297520661151,"(110.0, 320.0)",210.0,111
6,3.9,1.669020172360893,8.368387096774194,3.9,1.669020172360893,0.0109677419354838,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0397204301075268,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,1.6566666666666667,4.2,1.710353708815064,6.939860467177937,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,110.0,87.06043003150275,"[1, 6, 4, 2, 5]",0.7518,0.9115,0.6812,,0.4263,0.6575659416936603,"(135.0, 421.25)",286.25,119
7,3.9,1.669020172360893,0.710231884057971,3.9,1.669020172360893,0.0,3.9,1.669020172360893,0.0,10.8,2.183490122186449,0.0137246376811594,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,0.5217391304347826,4.2,1.710353708815064,6.939860467177937,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,95.0,78.23038374819279,"[1, 6, 4, 5, 3]",0.5567,0.9055,,,0.4769,0.8443696883852692,"(110.0, 385.0)",275.0,138
8,3.9,1.669020172360893,6.714535901926445,3.9,1.669020172360893,12.936952714535902,3.9,1.669020172360893,0.0008756567425569,10.8,2.183490122186449,0.0,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,0.2162872154115586,4.2,1.710353708815064,6.939860467177937,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,190.0,96.85333958463535,"[2, 1, 6, 3, 5]",0.615,0.9234,0.9901,,0.5384,0.8152634766807996,"(160.0, 480.0)",320.0,141
9,3.9,1.669020172360893,57.72336201191264,3.9,1.669020172360893,0.1191264063534083,3.9,1.669020172360893,28.087359364659164,10.8,2.183490122186449,9.238914626075449,3.0,1.5174271293851465,0.0,3.9,1.669020172360893,6.604897418927862,4.2,1.710353708815064,16.61151555261416,0.0,0.0,4.8,1.7831766905349025,30.88445844998943,4.8,1.7831766905349025,3.105459247997264,3.6,1.6236366888359681,1.1611476910143386,4.8,1.7831766905349025,5.390844687051973,5.8,1.8828194506362617,1.027243108400224,4.8,1.7831766905349025,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,5.8,1.8828194506362617,2.9915191887296144,4.8,1.7831766905349025,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.7831766905349025,0.0,5.8,1.8828194506362617,1.8515461840767222,0.0,0.0,330.0,188.43000300938365,"[1, 3, 7, 4, 6]",0.6138,0.5915,0.5757,0.5609999999999999,0.03130000000000022,0.590566037735852,"(315.0, 950.0)",635.0,149
