,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9a,standard deviation 9a,mean 9a,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
0,69.1,2.910553018248688,1.7277669902912622,69.1,2.910553018248688,0.6155339805825243,83.2,2.973657536961678,0.0,83.2,2.973657536961678,0.1017475728155339,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,0.9157281553398058,83.2,2.973657536961678,0.0,0.0,0.0,94.3,3.0154725711566654,30.88445844998943,94.3,3.0154725711566654,3.105459247997264,509.5,3.5308445954959478,1.1611476910143386,1349.3,3.7966673525790533,5.390844687051973,105.4,3.0521492892665196,1.027243108400224,94.3,3.0154725711566654,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,274.8,3.3514325836877377,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,1.8515461840767222,0.0,0.0,120.0,73.40560432787007,"[1, 6, 2, 4, 7]",0.5526,0.5378000000000001,0.6695,,0.09619999999999995,0.38884397736459153,"(360.0, 4206.25)",3846.25,77
1,69.1,2.910553018248688,0.9846232876712327,180.0,3.222723159922624,0.0,504.0,3.52776933385601,1.7123287671232875e-05,4517.5,4.10261234994651,6.84931506849315e-05,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,0.9899486301369864,195.9,3.248882070338103,0.0,0.0,0.0,94.3,3.0154725711566654,60.9026198630137,94.3,3.0154725711566654,1.973458904109589,12.8,2.2594192409711433,1.0435616438356166,222.2,3.2874269586192417,11.539640410958905,105.4,3.0521492892665196,1.798904109589041,94.3,3.0154725711566654,0.0,12.8,2.2594192409711433,0.0,274.8,3.3514325836877377,0.0,222.2,3.2874269586192417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,2.910553018248688,0.0,105.4,3.0521492892665196,0.0,0.0,0.0,40.0,79.23284246575344,"[9, 12, 10, 13, 11]",0.6408,0.6526000000000001,0.5072,0.5590999999999999,0.029899999999999927,0.5980000000000057,"(125.0, 1645.0)",1520.0,88
2,419.0,3.4750176310133933,1.3815384615384616,180.0,3.222723159922624,0.816923076923077,504.0,3.52776933385601,0.0,4517.5,4.10261234994651,0.0807692307692307,105.4,3.0521492892665196,0.0,71.9,2.92416585523752,0.3161538461538462,195.9,3.248882070338103,0.0023076923076923,0.0,0.0,222.2,3.2874269586192417,30.88445844998943,222.2,3.2874269586192417,3.105459247997264,12.8,2.2594192409711433,1.1611476910143386,222.2,3.2874269586192417,5.390844687051973,274.8,3.3514325836877377,1.027243108400224,69.1,2.910553018248688,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,105.4,3.0521492892665196,2.9915191887296144,222.2,3.2874269586192417,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,69.1,2.910553018248688,0.0,274.8,3.3514325836877377,1.8515461840767222,0.0,0.0,100.0,72.64251993653325,"[1, 2, 6, 4, 7]",0.5532,0.5828,0.5957,0.759,0.061799999999999966,0.22047805922226174,"(325.0, 3401.25)",3076.25,96
3,419.0,3.4750176310133933,1.9776286353467565,69.1,2.910553018248688,29.677852348993287,504.0,3.52776933385601,0.0,612.9,3.5827930784595576,0.0,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,6.930648769574944,83.2,2.973657536961678,0.0,0.0,0.0,94.3,3.0154725711566654,17.370246085011185,94.3,3.0154725711566654,6.883668903803132,12.8,2.2594192409711433,3.024608501118568,222.2,3.2874269586192417,5.390844687051973,105.4,3.0521492892665196,0.0044742729306487,94.3,3.0154725711566654,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,274.8,3.3514325836877377,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,69.1,2.910553018248688,0.0,105.4,3.0521492892665196,1.8515461840767222,0.0,0.0,165.0,99.73564664821821,"[2, 9, 10, 6, 11]",0.5488999999999999,0.5907,0.5114000000000001,0.5721,0.017500000000000293,0.21658415841584466,"(500.0, 4886.25)",4386.25,108
4,180.0,3.222723159922624,0.7373333333333333,69.1,2.910553018248688,8.208333333333334,504.0,3.52776933385601,0.0,612.9,3.5827930784595576,0.0,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,2.704,83.2,2.973657536961678,0.0,0.0,0.0,222.2,3.2874269586192417,6.5873333333333335,509.5,3.5308445954959478,2.388,12.8,2.2594192409711433,1.0513333333333332,1349.3,3.7966673525790533,5.390844687051973,105.4,3.0521492892665196,1.027243108400224,222.2,3.2874269586192417,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,274.8,3.3514325836877377,2.9915191887296144,222.2,3.2874269586192417,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,94.3,3.0154725711566654,0.0,105.4,3.0521492892665196,1.8515461840767222,0.0,0.0,185.0,56.57009557317324,"[2, 9, 6, 10, 11]",0.5165,0.5852999999999999,0.5133,0.5828,0.013700000000000045,0.1937765205091939,"(330.0, 3200.0)",2870.0,110
5,180.0,3.222723159922624,0.593,77.6,2.9501357434866615,8.919,504.0,3.52776933385601,0.0,83.2,2.973657536961678,0.0,105.4,3.0521492892665196,0.0,71.9,2.92416585523752,2.7636666666666665,195.9,3.248882070338103,6.939860467177937,0.0,0.0,222.2,3.2874269586192417,6.3196666666666665,222.2,3.2874269586192417,2.912,12.8,2.2594192409711433,1.0146666666666666,222.2,3.2874269586192417,5.390844687051973,105.4,3.0521492892665196,1.027243108400224,94.3,3.0154725711566654,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,105.4,3.0521492892665196,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,94.3,3.0154725711566654,0.0,274.8,3.3514325836877377,1.8515461840767222,0.0,0.0,160.0,64.35562270701784,"[2, 7, 9, 6, 10]",0.5281,0.5127999999999999,0.5722,0.49139999999999995,0.012099999999999556,0.19836065573769796,"(395.0, 3795.0)",3400.0,111
6,180.0,3.222723159922624,8.368387096774194,77.6,2.9501357434866615,0.0109677419354838,504.0,3.52776933385601,0.0,83.2,2.973657536961678,0.0397204301075268,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,1.6566666666666667,83.2,2.973657536961678,6.939860467177937,0.0,0.0,509.5,3.5308445954959478,30.88445844998943,222.2,3.2874269586192417,3.105459247997264,12.8,2.2594192409711433,1.1611476910143386,1349.3,3.7966673525790533,5.390844687051973,274.8,3.3514325836877377,1.027243108400224,69.1,2.910553018248688,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,274.8,3.3514325836877377,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,94.3,3.0154725711566654,0.0,105.4,3.0521492892665196,1.8515461840767222,0.0,0.0,120.0,87.06043003150275,"[1, 6, 4, 2, 5]",0.64,0.7988,0.6196999999999999,,0.24569999999999992,0.37649402390438236,"(505.0, 5931.25)",5426.25,119
7,419.0,3.4750176310133933,0.710231884057971,77.6,2.9501357434866615,0.0,504.0,3.52776933385601,0.0,4517.5,4.10261234994651,0.0137246376811594,105.4,3.0521492892665196,0.0,180.0,3.222723159922624,0.5217391304347826,83.2,2.973657536961678,6.939860467177937,0.0,0.0,94.3,3.0154725711566654,30.88445844998943,509.5,3.5308445954959478,3.105459247997264,12.8,2.2594192409711433,1.1611476910143386,222.2,3.2874269586192417,5.390844687051973,274.8,3.3514325836877377,1.027243108400224,69.1,2.910553018248688,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,105.4,3.0521492892665196,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,274.8,3.3514325836877377,1.8515461840767222,0.0,0.0,185.0,78.23038374819279,"[1, 6, 4, 5, 3]",0.526,0.7567,,,0.34730000000000005,0.61306266548985,"(390.0, 4100.0)",3710.0,138
8,419.0,3.4750176310133933,6.714535901926445,69.1,2.910553018248688,12.936952714535902,83.2,2.973657536961678,0.0008756567425569,4517.5,4.10261234994651,0.0,105.4,3.0521492892665196,0.0,71.9,2.92416585523752,0.2162872154115586,195.9,3.248882070338103,6.939860467177937,0.0,0.0,222.2,3.2874269586192417,30.88445844998943,222.2,3.2874269586192417,3.105459247997264,509.5,3.5308445954959478,1.1611476910143386,222.2,3.2874269586192417,5.390844687051973,105.4,3.0521492892665196,1.027243108400224,69.1,2.910553018248688,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,274.8,3.3514325836877377,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,222.2,3.2874269586192417,0.0,105.4,3.0521492892665196,1.8515461840767222,0.0,0.0,265.0,96.85333958463535,"[2, 1, 6, 3, 5]",0.5570999999999999,0.774,0.9048,,0.3085,0.46777862016679306,"(600.0, 5861.25)",5261.25,141
9,69.1,2.910553018248688,57.72336201191264,69.1,2.910553018248688,0.1191264063534083,504.0,3.52776933385601,28.087359364659164,612.9,3.5827930784595576,9.238914626075449,105.4,3.0521492892665196,0.0,71.9,2.92416585523752,6.604897418927862,195.9,3.248882070338103,16.61151555261416,0.0,0.0,222.2,3.2874269586192417,30.88445844998943,222.2,3.2874269586192417,3.105459247997264,12.8,2.2594192409711433,1.1611476910143386,222.2,3.2874269586192417,5.390844687051973,274.8,3.3514325836877377,1.027243108400224,69.1,2.910553018248688,0.571469667140634,12.8,2.2594192409711433,0.3567921507064364,274.8,3.3514325836877377,2.9915191887296144,1349.3,3.7966673525790533,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,94.3,3.0154725711566654,0.0,105.4,3.0521492892665196,1.8515461840767222,0.0,0.0,315.0,188.43000300938365,"[1, 3, 7, 4, 6]",0.5584,0.5424,0.5475,0.5256000000000001,0.01660000000000006,0.3242187500000024,"(1200.0, 12240.0)",11040.0,149
