,id,scope_item_id,staff,type,total,total_by_staff
684,77,1,2575.0,Déclaration,4449.0,1.7277669902912622
685,77,2,2575.0,Déclaration,1585.0,0.6155339805825243
686,77,3,2575.0,Déclaration,0.0,0.0
687,77,4,2575.0,Déclaration,262.0,0.10174757281553398
688,77,5,2575.0,Déclaration,0.0,0.0
689,77,6,2575.0,Déclaration,2358.0,0.9157281553398058
690,77,7,2575.0,Déclaration,0.0,0.0
765,88,1,584.0,Déclaration,575.02,0.9846232876712329
766,88,2,584.0,Déclaration,0.0,0.0
767,88,3,584.0,Déclaration,0.01,1.7123287671232875e-05
768,88,4,584.0,Déclaration,0.04,6.84931506849315e-05
769,88,5,584.0,Déclaration,0.0,0.0
770,88,6,584.0,Déclaration,578.13,0.9899486301369863
771,88,7,584.0,Déclaration,0.0,0.0
772,88,8,584.0,Déclaration,114.05,0.19529109589041097
773,88,9,584.0,Déclaration,35567.13,60.9026198630137
774,88,10,584.0,Déclaration,1152.5,1.9734589041095891
775,88,11,584.0,Déclaration,609.44,1.0435616438356166
776,88,12,584.0,Déclaration,6739.15,11.539640410958903
777,88,13,584.0,Déclaration,1050.56,1.798904109589041
778,88,14,584.0,Déclaration,0.0,0.0
779,88,15,584.0,Déclaration,0.0,0.0
780,88,16,584.0,Déclaration,0.0,0.0
781,88,17,584.0,Déclaration,0.0,0.0
782,88,18,584.0,Déclaration,0.0,0.0
783,88,19,584.0,Déclaration,0.0,0.0
784,88,20,584.0,Déclaration,3703.84,6.342191780821918
785,88,21,584.0,Déclaration,0.0,0.0
786,88,22,584.0,Déclaration,0.0,0.0
787,88,23,584.0,Déclaration,5.63,0.00964041095890411
859,96,1,1300.0,Déclaration,1796.0,1.3815384615384616
860,96,2,1300.0,Déclaration,1062.0,0.816923076923077
861,96,3,1300.0,Déclaration,0.0,0.0
862,96,4,1300.0,Déclaration,105.0,0.08076923076923077
863,96,5,1300.0,Déclaration,0.0,0.0
864,96,6,1300.0,Déclaration,411.0,0.3161538461538462
865,96,7,1300.0,Déclaration,3.0,0.002307692307692308
911,108,1,894.0,Déclaration,1768.0,1.9776286353467563
912,108,2,894.0,Déclaration,26532.0,29.677852348993287
913,108,3,894.0,Déclaration,0.0,0.0
914,108,4,894.0,Déclaration,0.0,0.0
915,108,5,894.0,Déclaration,0.0,0.0
916,108,6,894.0,Déclaration,6196.0,6.930648769574944
917,108,7,894.0,Déclaration,0.0,0.0
918,108,8,894.0,Déclaration,4539.0,5.077181208053691
919,108,9,894.0,Déclaration,15529.0,17.370246085011185
920,108,10,894.0,Déclaration,6154.0,6.883668903803132
921,108,11,894.0,Déclaration,2704.0,3.024608501118568
922,108,13,894.0,Déclaration,4.0,0.0044742729306487695
923,108,19,894.0,Déclaration,459.0,0.5134228187919463
924,110,1,3000.0,Déclaration,2212.0,0.7373333333333333
925,110,2,3000.0,Déclaration,24625.0,8.208333333333334
926,110,3,3000.0,Déclaration,0.0,0.0
927,110,4,3000.0,Déclaration,0.0,0.0
928,110,5,3000.0,Déclaration,0.0,0.0
929,110,6,3000.0,Déclaration,8112.0,2.704
930,110,7,3000.0,Déclaration,0.0,0.0
931,110,8,3000.0,Déclaration,4341.0,1.447
932,110,9,3000.0,Déclaration,19762.0,6.5873333333333335
933,110,10,3000.0,Déclaration,7164.0,2.388
934,110,11,3000.0,Déclaration,3154.0,1.0513333333333332
935,110,19,3000.0,Déclaration,372.0,0.124
936,111,1,3000.0,Déclaration,1779.0,0.593
937,111,2,3000.0,Déclaration,26757.0,8.919
938,111,3,3000.0,Déclaration,0.0,0.0
939,111,4,3000.0,Déclaration,0.0,0.0
940,111,5,3000.0,Déclaration,0.0,0.0
941,111,6,3000.0,Déclaration,8291.0,2.7636666666666665
943,111,8,3000.0,Déclaration,4711.0,1.5703333333333334
944,111,9,3000.0,Déclaration,18959.0,6.3196666666666665
945,111,10,3000.0,Déclaration,8736.0,2.912
946,111,11,3000.0,Déclaration,3044.0,1.0146666666666666
947,111,19,3000.0,Déclaration,354.0,0.118
1022,119,1,930.0,Déclaration,7782.6,8.368387096774194
1023,119,2,930.0,Déclaration,10.2,0.01096774193548387
1024,119,3,930.0,Déclaration,0.0,0.0
1025,119,4,930.0,Déclaration,36.94,0.03972043010752688
1026,119,5,930.0,Déclaration,0.0,0.0
1027,119,6,930.0,Déclaration,1540.7,1.6566666666666667
1125,138,1,690.0,Déclaration,490.06,0.710231884057971
1126,138,2,690.0,Déclaration,0.0,0.0
1127,138,3,690.0,Déclaration,0.0,0.0
1128,138,4,690.0,Déclaration,9.47,0.013724637681159422
1129,138,5,690.0,Déclaration,0.0,0.0
1130,138,6,690.0,Déclaration,360.0,0.5217391304347826
1178,141,1,1142.0,Déclaration,7668.0,6.714535901926445
1179,141,2,1142.0,Déclaration,14774.0,12.936952714535902
1180,141,3,1142.0,Déclaration,1.0,0.0008756567425569177
1181,141,4,1142.0,Déclaration,0.0,0.0
1182,141,5,1142.0,Déclaration,0.0,0.0
1183,141,6,1142.0,Déclaration,247.0,0.21628721541155868
1204,149,1,7555.0,Déclaration,436100.0,57.72336201191264
1205,149,2,7555.0,Déclaration,900.0,0.11912640635340833
1206,149,3,7555.0,Déclaration,212200.0,28.087359364659164
1207,149,4,7555.0,Déclaration,69800.0,9.238914626075447
1208,149,5,7555.0,Déclaration,0.0,0.0
1209,149,6,7555.0,Déclaration,49900.0,6.604897418927862
1210,149,7,7555.0,Déclaration,125500.0,16.61151555261416
1253,154,1,600.0,Déclaration,6663.0,11.105
1254,154,2,600.0,Déclaration,113.0,0.18833333333333332
1255,154,3,600.0,Déclaration,0.0,0.0
1256,154,4,600.0,Déclaration,0.0,0.0
1257,154,5,600.0,Déclaration,0.0,0.0
1258,154,6,600.0,Déclaration,5072.0,8.453333333333333
1259,154,7,600.0,Déclaration,26126.0,43.54333333333334
1281,158,1,1100.0,Déclaration,1926.0,1.750909090909091
1282,158,2,1100.0,Déclaration,219.0,0.1990909090909091
1283,158,3,1100.0,Déclaration,1117.0,1.0154545454545454
1284,158,4,1100.0,Déclaration,23.0,0.02090909090909091
1285,158,5,1100.0,Déclaration,0.0,0.0
1286,158,6,1100.0,Déclaration,2458.0,2.2345454545454544
1520,175,1,29107.0,Déclaration,147265.0,5.0594358745319
1521,175,2,29107.0,Déclaration,16654.0,0.572164771360841
1522,175,3,29107.0,Déclaration,0.0,0.0
1523,175,4,29107.0,Déclaration,3591.0,0.12337238464974061
1524,175,5,29107.0,Déclaration,0.0,0.0
1525,175,6,29107.0,Déclaration,30486.0,1.0473769196413234
1534,176,1,2107.0,Déclaration,21182.0,10.053156146179402
1535,176,2,2107.0,Déclaration,1011.0,0.47982914095870904
1536,176,3,2107.0,Déclaration,0.0,0.0
1537,176,4,2107.0,Déclaration,195.0,0.09254864736592311
1538,176,5,2107.0,Déclaration,0.0,0.0
1539,176,6,2107.0,Déclaration,2199.0,1.0436639772187946
1548,179,1,2180.0,Déclaration,26883.0,12.33165137614679
1549,179,2,2180.0,Déclaration,851.0,0.3903669724770642
1550,179,3,2180.0,Déclaration,0.0,0.0
1551,179,4,2180.0,Déclaration,109.0,0.05
1552,179,5,2180.0,Déclaration,0.0,0.0
1553,179,6,2180.0,Déclaration,2256.0,1.034862385321101
1562,180,1,531.0,Déclaration,2442.0,4.598870056497175
1563,180,2,531.0,Déclaration,197.0,0.3709981167608286
1564,180,3,531.0,Déclaration,0.0,0.0
1565,180,4,531.0,Déclaration,0.0,0.0
1566,180,5,531.0,Déclaration,0.0,0.0
1567,180,6,531.0,Déclaration,1146.0,2.15819209039548
1629,187,1,1204.0,Déclaration,8.0,0.006644518272425249
1630,187,2,1204.0,Déclaration,13340.0,11.079734219269103
1631,187,3,1204.0,Déclaration,1.0,0.0008305647840531562
1632,187,4,1204.0,Déclaration,0.0,0.0
1633,187,5,1204.0,Déclaration,0.0,0.0
1634,187,6,1204.0,Déclaration,261.0,0.21677740863787376
1968,206,1,700.0,Déclaration,6482.0,9.26
1969,206,2,700.0,Déclaration,1200.0,1.7142857142857142
1970,206,3,700.0,Déclaration,844845.0,1206.9214285714286
1971,206,4,700.0,Déclaration,0.0,0.0
1972,206,5,700.0,Déclaration,0.0,0.0
1973,206,6,700.0,Déclaration,6779.0,9.684285714285714
2012,209,1,1204.0,Déclaration,464.509,0.3858048172757475
2013,209,2,1204.0,Déclaration,802.266,0.6663338870431893
2014,209,3,1204.0,Déclaration,0.0,0.0
2015,209,4,1204.0,Déclaration,0.2,0.00016611295681063124
2016,209,5,1204.0,Déclaration,0.0,0.0
2017,209,6,1204.0,Déclaration,1170.128,0.9718671096345515
2040,211,1,1235.0,Déclaration,1486.0,1.203238866396761
2041,211,2,1235.0,Déclaration,580.0,0.46963562753036436
2042,211,3,1235.0,Déclaration,0.0,0.0
2043,211,4,1235.0,Déclaration,0.0,0.0
2044,211,5,1235.0,Déclaration,0.0,0.0
2045,211,6,1235.0,Déclaration,374.0,0.302834008097166
