,id,id,id,id,id,id,id,id,staff,staff,staff,staff,staff,staff,staff,staff,total,total,total,total,total,total,total,total,total_by_staff,total_by_staff,total_by_staff,total_by_staff,total_by_staff,total_by_staff,total_by_staff,total_by_staff
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
scope_item_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,749.0,3759.803738317757,2235.525154583918,77.0,1780.0,3969.0,5428.0,8135.0,749.0,2253.0787716955942,7429.391907334722,15.0,612.0,910.0,1500.0,124872.0,749.0,13888.11013485024,46294.93889346,0.1,474.0,1533.0,5821.0,470247.0,749.0,10.515096470129334,37.38347234257894,0.00020004000800160032,0.49368029739776953,1.505603448275862,4.521262002743485,685.684375
2,683.0,3745.5900439238653,2239.598064723587,77.0,1764.0,3952.0,5440.5,8098.0,683.0,2342.0117130307467,7789.381677498616,15.0,615.5,922.0,1500.0,124872.0,683.0,2080.2296179466293,7373.683853554877,0.01278,60.364999999999995,260.08,1095.597,111083.0,683.0,1.4376331480855291,5.177287906199439,2.2421052631578946e-05,0.06258692628650904,0.2290941176470588,0.8563802069950769,76.53333333333333
3,195.0,3467.0,2098.171400721143,88.0,1732.5,3432.0,4983.5,7948.0,195.0,1856.4410256410256,4034.375463663908,200.0,627.5,1028.0,1484.5,52264.0,195.0,14593.472733846154,49994.859867029365,0.01,38.0,300.0,5964.0,478127.0,195.0,14.531034430111845,72.19270308810995,1.7123287671232875e-05,0.03125645765802269,0.24,4.131400742115028,785.1018062397372
4,506.0,3720.792490118577,2248.465901304627,77.0,1668.0,3885.0,5456.0,8080.0,506.0,2283.6679841897235,6690.145585330229,49.0,631.25,945.0,1747.0,124872.0,506.0,1489.7560506640316,8643.849032715134,0.001,24.0,109.5,343.0,107959.0,506.0,1.2370252635334222,9.414856192061773,6.896551724137931e-07,0.022838607594936708,0.09317504135338346,0.23143396323302864,178.74006622516555
5,16.0,3706.875,2067.991066228285,402.0,2239.0,3905.0,5149.0,7422.0,16.0,972.1875,418.414183754168,529.0,698.75,1000.0,1037.0,2300.0,16.0,29574.8689375,94363.89389587466,13.0,35.30225,130.5,753.5,374195.57,16.0,33.27091267976283,97.9042026106577,0.015028901734104046,0.0373282469481689,0.14093005671077505,0.5604347826086956,374.19557000000003
6,772.0,3719.8458549222796,2228.859487638866,77.0,1723.0,3927.0,5379.0,8135.0,772.0,2228.678756476684,7329.484427957934,15.0,608.25,916.0,1500.0,124872.0,772.0,3926.2018921378244,15412.401895538558,0.1,252.5,733.0,2241.1575000000003,224185.0,772.0,3.351164051619499,18.303833132908157,4.6665733351999625e-05,0.2748673260696731,0.7138589256646772,1.809607727795816,368.11986863711
7,143.0,3675.6993006993007,2252.915679032505,96.0,1469.0,4147.0,5428.0,7941.0,143.0,3596.4965034965035,6460.618804437799,300.0,799.0,1200.0,3023.0,52264.0,143.0,8039.2163462442595,22502.67456238379,1.0,114.0,559.0,4446.5,152640.0,143.0,6.939860467177937,24.255946113197577,0.0004562043795620438,0.0580159562343287,0.31833333333333336,2.334386000686872,218.56487025948104
8,238.0,3867.415966386555,2167.6029419627575,88.0,2188.25,3812.5,5441.5,8098.0,238.0,2652.983193277311,9233.86606955254,49.0,659.75,959.0,1741.25,124872.0,238.0,4042.608386029412,18000.179211143106,0.3,199.585,515.5550000000001,1353.75,208032.0,238.0,2.2309168425566313,8.723547702538667,9.333146670399925e-05,0.2172433927245731,0.4216615941480788,1.2225230999823666,88.67519181585678
9,106.0,3727.509433962264,2266.505996736714,88.0,2007.25,3579.0,5376.25,7910.0,106.0,2515.122641509434,5453.519879862354,49.0,618.5,1152.5,1767.5,49105.0,106.0,40821.339621867926,70429.57319487643,0.1,2233.0,12785.5,34691.097499999996,425347.0,106.0,30.88445844998943,45.318738905616875,0.0001658374792703151,1.4893082663605053,13.33842726011314,38.73062183865344,263.12349726775955
10,120.0,3720.0583333333334,2224.405460349082,88.0,2009.75,3579.0,5313.25,7910.0,120.0,2257.483333333333,4993.6730759668135,50.0,619.5,1115.5,1702.5,49105.0,120.0,7514.995787854165,22258.588900640865,1.0,213.33749999999998,1526.865,5586.25,211978.0,120.0,3.105459247997264,6.2014240309166455,0.0012307692307692308,0.2958928571428572,1.5485923423423422,2.924384615384615,42.40408081616323
11,131.0,3918.4885496183206,2181.6418424466547,88.0,2074.0,4156.0,5542.5,7910.0,131.0,2339.9312977099235,4896.758689630769,49.0,641.5,1143.0,1735.0,49105.0,131.0,2690.4825817030533,11440.816360032157,0.01,54.0,283.0,876.5,120941.0,131.0,1.1611476910143386,3.394321519245579,0.00020408163265306123,0.06293706293706294,0.2402325581395349,0.7265915991902834,24.193038607721544
12,108.0,4277.768518518518,2174.4396919558208,88.0,2627.5,4231.0,5890.0,8082.0,108.0,2373.009259259259,4690.102564479163,15.0,653.0,1041.0,1702.5,38801.0,108.0,7872.691609472222,18487.317670112297,0.2,50.75,785.5,6750.7053655,140791.0,108.0,5.390844687051973,11.608502893859649,0.0008748906386701663,0.06803441523093129,0.6715967310315878,4.813568777278158,69.42
13,121.0,3585.5206611570247,2090.2520466009737,88.0,1860.0,3589.0,5310.0,7820.0,121.0,3052.8264462809916,6378.245258530079,49.0,775.0,1200.0,2052.0,49105.0,121.0,2463.2881191305783,5958.53477437417,2.0,91.0,580.0,1899.0,50329.0,121.0,1.027243108400224,1.6837748622813695,0.001142857142857143,0.08403361344537816,0.48333333333333334,1.1708108108108108,10.421733505821475
