Factor,Default base uncertainty,Is monetary ?,Emphasize override by user,Source,Reliability,Temporal correlation,Geographical correlation,Product correlation
fuel emission factor,0.05,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/20/siGras/1,0,0,1,1
average time consumption,1.20,FALSE,TRUE,Calculations Acces Industrie,0,0,1,2
fuel monetary emission factor,2.20,TRUE,,https://www.ecologie.gouv.fr/prix-des-produits-petroliers,0,2,1,3
mobile fuel emission factor,0.05,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/20/siGras/1,0,0,1,1
mobile fuel monetary emission factor,2.20,TRUE,,,0,2,1,3
global warming potential,0.40,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/choix-categorie/categorie/348/siGras/1,0,0,0,1
chemical ratio,0.05,FALSE,TRUE,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/42/siGras/1,0,0,1,1
leakage rate,0.50,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/51,0,0,1,1
average gaz consumption per surface,0.50,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/52,0,0,1,1
artificilisation emission factor,0.70,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/60,0,0,1,1
electricity emission factor,0.10,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/64,0,0,1,1
electricity monetary emission factor,2.20,TRUE,,,0,2,1,3
energy emission factor,0.30,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/72,0,0,1,1
energy monetary emission factor,2.50,TRUE,,,0,2,1,3
,,,,,,,,
product emission factor,0.50,FALSE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
mass per product unit,0.05,FALSE,,Measurement error,0,0,0,0
product monetary emission factor,3.00,TRUE,TRUE,,0,2,1,3
service monetary emission factor,4.00,TRUE,TRUE,,0,2,1,3
product monetary yearly emission factor,3.00,TRUE,TRUE,,0,2,1,3
product yearly emission factor,0.50,FALSE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
mass per asset unit,0.05,FALSE,,Measurement error,0,0,0,0
product disposal emission factor,,FALSE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
mass per waste unit,0.05,FALSE,,Measurement error,0,0,0,0
product disposal monetary emission factor,0.50,TRUE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
freight emission factor,0.70,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/liste-element/categorie/538/siGras/1,0,0,1,1
freight monetary emission factor,3.00,TRUE,,,0,2,1,3
travel emission factor,0.70,FALSE,,https://bilans-ges.ademe.fr/fr/basecarbone/donnees-consulter/choix-categorie/categorie/6,0,0,1,1
travel monetary emission factor,4.00,TRUE,,,0,2,1,3
monetary emission factor investment,,TRUE,TRUE,,0,2,1,3
product mass emission factor,0.50,FALSE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
asset mass emission factor,0.50,FALSE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
waste disposal mass emission factor,0.50,FALSE,TRUE,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.pubFullText/publication_id/83925,0,0,1,2
