,Emission source,Description,Activity data 1,Activity data 2,Factor 1,Factor 2,Factor 3,Final uncertainty Activity data 1,Final uncertainty Activity data 2,Final uncertainty Factor 1,Final uncertainty Factor 2,Final uncertainty Factor 3,Total uncertainty,Available
0,1,Fuel consumption,fuel consumption,nan,fuel emission factor,nan,nan,1.1,,0.8,,,3.7,True
1,2,Fuel consumption,fuel consumption,nan,fuel emission factor,nan,nan,1.1,,0.8,,,3.7,True
2,2,Time of use of a machine- power generated- and average consumption,time of use of machine,nan,average time consumption,nan,nan,1.1,,3.4,,,9.3,True
3,1,Fuel bills,fuel bills,nan,fuel monetary emission factor,nan,nan,0.0,,6.7,,,7.6,True
4,2,Fuel bills,fuel bills,nan,mobile fuel monetary emission factor,nan,nan,0.0,,6.7,,,7.6,True
5,2,Kilometers driven,kilometers driven,nan,mobile fuel emission factor,nan,nan,1.1,,0.8,,,3.7,True
6,3,Direct emissions measurement,direct emission measurement,nan,global warming potential,nan,nan,1.1,,1.3,,,4.8,True
7,4,Leaked amount (volume or mass) and measured gaz,leaked amount,nan,global warming potential,nan,nan,1.1,,1.3,,,4.8,True
8,5,Switch type and total surface,total surface footprint,nan,artificilisation emission factor,nan,nan,1.1,,1.8,,,6.0,True
9,6,Electricity consumption,electricity consumption,nan,electricity emission factor,nan,nan,1.1,,0.9,,,3.9,True
10,6,Electricity bills ,electricity bills,nan,electricity monetary emission factor,nan,nan,0.0,,6.7,,,7.6,True
11,7,Energy consumption,energy consumption,nan,energy emission factor,nan,nan,1.1,,1.2,,,4.7,True
12,7,Energy bills ,energy bills,nan,energy monetary emission factor,nan,nan,0.0,,7.3,,,8.2,True
13,8,"See emission source 1-2-4-6 - proportional 
1        82
2        82.6
4        69.8
6        75.39466667",nan,nan,nan,nan,nan,,,,,,0.0,True
14,18,Not accounted for - depending on product - apply uncertainty model ,nan,nan,nan,nan,nan,,,,,,0.0,True
15,19,Not accounted for - depending on product - apply uncertainty model ,nan,nan,nan,nan,nan,,,,,,0.0,True
16,20,Unrelevant,nan,nan,nan,nan,nan,,,,,,0.0,True
17,23,Not accounted for - depending on case - apply uncertainty model,nan,nan,nan,nan,nan,,,,,,0.0,True
18,9a,Good quantity,good unit,nan,product emission factor,nan,nan,1.1,,2.2,,,6.7,True
19,9a,Good price,good price,nan,product monetary emission factor,nan,nan,0.0,,8.4,,,9.3,True
20,9b,Service price,service price,nan,service monetary emission factor,nan,nan,0.0,,10.5,,,11.4,True
21,10,Amortisation expense,amortisation,nan,product monetary yearly emission factor,nan,nan,0.0,,8.4,,,9.3,True
22,14,leasing expense,leasing price,nan,product monetary yearly emission factor,nan,nan,0.0,,8.4,,,9.3,True
23,21,leasing expense,leasing price,nan,product monetary yearly emission factor,nan,nan,0.0,,8.4,,,9.3,True
24,10,Asset quantity,asset quantity,nan,product yearly emission factor,nan,nan,1.1,,2.2,,,6.7,True
25,14,Leased asset quantity,asset quantity,nan,product yearly emission factor,nan,nan,1.1,,2.2,,,6.7,True
26,21,Leased asset quantity,asset quantity,nan,product yearly emission factor,nan,nan,1.1,,2.2,,,6.7,True
27,21,Leased asset computed weight,asset quantity,nan,mass per asset unit,nan,nan,1.1,,0.3,,,2.7,True
28,14,Leased asset computed weight,asset unit,nan,mass per asset unit,nan,nan,1.1,,0.3,,,2.7,True
29,11,Waste quantity,waste unit,nan,product disposal emission factor,nan,nan,1.1,,,,,1.9,True
30,11,Waste disposal price,waste disposal price,nan,product disposal monetary emission factor,nan,nan,0.0,,2.2,,,3.0,True
31,13,Travels with distance travelled ,distance travelled,nan,travel emission factor,nan,nan,1.1,,1.8,,,6.0,True
32,16,Travels with distance travelled ,distance travelled,nan,travel emission factor,nan,nan,1.1,,1.8,,,6.0,True
33,22,Travels with distance travelled ,distance travelled,nan,travel emission factor,nan,nan,1.1,,1.8,,,6.0,True
