,Unnamed: 0,scope,methodology,Activity data 1,Activity data 2,Factor 1,Factor 2,Factor 3,Final uncertainty Activity data 1,Final uncertainty Activity data 2,Final uncertainty Factor 1,Final uncertainty Factor 2,Final uncertainty Factor 3,Total uncertainty,Available,Current,value,pertinent,variance,modelisation disponible
0,0.0,1,Fuel consumption,fuel consumption,,fuel emission factor,,,1.1,,0.8,,,3.7,True,False,3.373046875,True,12.480273437500001,True
1,1.0,2,Fuel consumption,fuel consumption,,fuel emission factor,,,1.1,,0.8,,,3.7,True,False,0.0,True,0.0,True
2,2.0,2,Time of use of a machine- power generated- and average consumption,time of use of machine,,average time consumption,,,1.1,,3.4,,,9.3,True,False,0.0,True,0.0,True
3,3.0,1,Fuel bills,fuel bills,,fuel monetary emission factor,,,0.0,,6.7,,,7.6,True,True,3.373046875,True,25.635156249999998,True
4,4.0,2,Fuel bills,fuel bills,,mobile fuel monetary emission factor,,,0.0,,6.7,,,7.6,True,True,0.0,True,0.0,True
5,5.0,2,Kilometers driven,kilometers driven,,mobile fuel emission factor,,,1.1,,0.8,,,3.7,True,False,0.0,True,0.0,True
6,6.0,3,Direct emissions measurement,direct emission measurement,,global warming potential,,,1.1,,1.3,,,4.8,True,False,0.0,True,0.0,True
7,7.0,4,Leaked amount (volume or mass) and measured gaz,leaked amount,,global warming potential,,,1.1,,1.3,,,4.8,True,False,0.0,True,0.0,True
8,8.0,5,Switch type and total surface,total surface footprint,,artificilisation emission factor,,,1.1,,1.8,,,6.0,True,False,0.0,True,0.0,True
9,9.0,6,Electricity consumption,electricity consumption,,electricity emission factor,,,1.1,,0.9,,,3.9,True,False,1.275390625,True,4.9740234375,True
10,10.0,6,Electricity bills ,electricity bills,,electricity monetary emission factor,,,0.0,,6.7,,,7.6,True,True,1.275390625,True,9.69296875,True
11,11.0,7,Energy consumption,energy consumption,,energy emission factor,,,1.1,,1.2,,,4.7,True,False,0.0,True,0.0,True
12,12.0,7,Energy bills ,energy bills,,energy monetary emission factor,,,0.0,,7.3,,,8.2,True,True,0.0,True,0.0,True
18,18.0,9a,Good quantity,good unit,,product emission factor,,,1.1,,2.2,,,6.7,True,False,30.884,True,206.9228,True
19,19.0,9a,Good price,good price,,product monetary emission factor,,,0.0,,8.4,,,9.3,True,True,30.884,True,287.2212,True
20,20.0,9b,Service price,service price,,service monetary emission factor,,,0.0,,10.5,,,11.4,True,True,30.884,True,352.0776,True
21,21.0,10,Amortisation expense,amortisation,,product monetary yearly emission factor,,,0.0,,8.4,,,9.3,True,True,3.105,True,28.876500000000004,True
22,22.0,14,leasing expense,leasing price,,product monetary yearly emission factor,,,0.0,,8.4,,,9.3,True,True,0.571,True,5.3103,True
24,24.0,10,Asset quantity,asset quantity,,product yearly emission factor,,,1.1,,2.2,,,6.7,True,False,3.105,True,20.8035,True
