id,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.6626799999999999,0.67911,0.62312,,0.19609,0.8099545642296575,"(5.0, 25.0)",20.0
88,60.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.56006,0.7238100000000001,0.81072,,0.2516400000000001,,"(70.0, 310.0)",240.0
96,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70799,0.55279,0.5056,,0.09750999999999999,0.35678741309915823,"(85.0, 355.0)",270.0
108,215.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88171,0.53747,,,0.43538,,"(290.0, 1590.0)",1300.0
110,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59535,0.51155,0.57959,0.62923,0.030209999999999848,0.38484076433120823,"(65.0, 290.0)",235.0
111,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66406,0.65306,0.5197499999999999,0.85971,0.0973299999999998,,"(0.0, 10.0)",10.0
119,65.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.70282,0.52014,0.50031,0.64042,0.03161000000000003,0.048878923766816185,"(85.0, 340.0)",255.0
138,95.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.795,0.47748999999999997,0.86557,0.93851,0.21875,0.39132379248658317,"(135.0, 575.0)",440.0
141,65.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79333,0.6962900000000001,0.67557,,0.28753000000000006,0.4408616988653789,"(90.0, 380.0)",290.0
149,130.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72612,0.70075,0.50563,,0.17989999999999973,,"(150.0, 580.0)",430.0
154,80.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.7323299999999999,0.58426,0.54857,0.92207,0.11316999999999988,0.27977750309023464,"(100.0, 410.0)",310.0
158,50.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.71287,0.84138,,,0.56486,,"(65.0, 295.0)",230.0
