id,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.662195,0.678948,0.622537,,0.19515700000000014,0.8061007847996705,"(5.0, 25.0)",20.0
88,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.560215,0.7251540000000001,0.810253,,0.2527649999999999,,"(70.0, 315.0)",245.0
96,60.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.7087669999999999,0.552408,0.50498,,0.0979629999999998,0.3584449323088173,"(85.0, 355.0)",270.0
108,190.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.880994,0.5382830000000001,,,0.4353290000000001,,"(290.0, 1580.0)",1290.0
110,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.595637,0.511709,0.5758840000000001,0.628546,0.030417999999999945,0.3874904458598719,"(65.0, 290.0)",225.0
111,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.664705,0.652264,0.5202370000000001,0.8588,0.09675999999999996,,"(0.0, 10.0)",10.0
119,65.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.7025250000000001,0.518825,0.500489,0.638389,0.031771000000000105,0.049127880006185405,"(85.0, 340.0)",255.0
138,90.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.7950699999999999,0.474994,0.864486,0.938552,0.2174419999999998,0.38898389982110876,"(135.0, 570.0)",435.0
141,65.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79326,0.697067,0.675063,,0.28806900000000013,0.4416881324747013,"(90.0, 380.0)",290.0
149,130.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.725225,0.702094,0.506456,,0.1800130000000001,,"(150.0, 570.0)",425.0
154,75.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.7319359999999999,0.5852930000000001,0.545472,0.921372,0.11264399999999986,0.2784771322620516,"(100.0, 410.0)",310.0
158,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.709777,0.841709,,,0.562935,,"(65.0, 295.0)",230.0
175,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.657485,0.5387489999999999,0.694816,0.605721,0.058594000000000035,0.1543572181243415,"(70.0, 305.0)",235.0
176,105.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.514019,0.726464,0.60535,,0.1347879999999999,0.27357012380759066,"(130.0, 490.0)",360.0
179,40.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.682527,0.509667,0.5237350000000001,0.808282,0.05529499999999976,0.09373622647906385,"(60.0, 270.0)",210.0
180,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.636558,0.896863,,,0.545426,0.9665532518164096,"(65.0, 300.0)",235.0
187,70.0,48.449738338395285,"[6, 1, 2, 4, 5]",0.502041,0.645939,0.9496,,0.22001000000000004,0.25244979919678723,"(85.0, 360.0)",275.0
206,10.0,11.226231064421425,"[12, 7, 2, 16, 21]",0.04661499999999996,0.785062,,,0.01877300000000004,0.0457320341047504,"(15.0, 70.0)",55.0
209,80.0,54.132177697977504,"[1, 6, 5, 4, 3]",0.684007,,,,0.684007,,"(100.0, 410.0)",310.0
211,65.0,53.75864652418655,"[7, 6, 10, 2, 1]",0.796679,0.39169,0.82927,0.627749,0.08491100000000029,,"(90.0, 390.0)",300.0
227,30.0,20.014371038576503,"[1, 2, 6, 10, 7]",0.677027,0.7256389999999999,0.10126100000000005,0.611688,,0.0031893265565452623,"(35.0, 140.0)",105.0
236,70.0,49.76022964602945,"[6, 1, 2, 4, 5]",0.574665,0.52137,0.941241,,0.186875,0.25267036235803136,"(90.0, 370.0)",280.0
240,10.0,7.649484536082474,"[12, 2, 22, 1, 10]",0.5248470000000001,0.566241,0.570829,0.503946,0.020988999999999813,0.050515042117929745,"(15.0, 60.0)",45.0
246,35.0,36.53227151895733,"[13, 1, 14, 7, 11]",0.13765899999999998,0.633885,0.18007700000000004,0.934904,,0.003902342199284375,"(50.0, 235.0)",185.0
273,65.0,52.89116720554914,"[2, 1, 6, 3, 7]",0.7481599999999999,0.566334,0.761532,,0.22378999999999993,0.5294298556896143,"(95.0, 380.0)",285.0
276,80.0,54.698955760679134,"[1, 6, 2, 5, 4]",0.759443,0.91188,,,0.674489,,"(100.0, 415.0)",315.0
283,75.0,52.13125589901274,"[1, 6, 4, 2, 5]",0.6860740000000001,0.9327259999999999,0.645906,,0.382119,0.5248887362637362,"(95.0, 395.0)",300.0
287,80.0,55.9672509226252,"[1, 6, 2, 5, 4]",0.7521059999999999,0.890653,,,0.6472960000000001,,"(105.0, 425.0)",320.0
339,85.0,53.725517002351296,"[1, 6, 4, 2, 5]",0.652083,0.874315,0.608757,,0.2931,0.7766295707472181,"(100.0, 405.0)",305.0
360,55.0,42.85115865253572,"[7, 6, 2, 4, 1]",0.592618,0.944339,0.746577,0.500564,0.1611699999999998,0.29615950018375564,"(70.0, 310.0)",240.0
361,85.0,52.57800742380723,"[1, 6, 2, 4, 5]",0.6930780000000001,0.90977,0.574427,,0.3259899999999999,,"(100.0, 395.0)",295.0
374,80.0,55.42556297936278,"[1, 6, 4, 2, 5]",0.7331650000000001,0.879727,0.508567,,0.2735779999999999,,"(105.0, 420.0)",315.0
375,80.0,55.58003962227648,"[1, 6, 4, 2, 5]",0.713159,0.6949810000000001,0.860341,,0.35237700000000005,,"(105.0, 425.0)",320.0
376,75.0,51.28343575289968,"[1, 6, 4, 2, 5]",0.660263,0.6208130000000001,0.820209,,0.24448199999999998,,"(100.0, 390.0)",290.0
400,70.0,51.11509953450529,"[1, 6, 2, 5, 4]",0.68833,0.970465,,,0.659786,,"(95.0, 385.0)",290.0
