id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66193,0.68008,0.62193,,0.19465,0.8040066088393228,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.70949,0.7318100000000001,0.6558999999999999,,0.2655799999999999,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.5999,0.61165,0.57575,,0.1227100000000001,0.5068566707971919,"(5.0, 130.0)",125.0
88,0,55.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.55906,0.7258,0.81058,,0.25373,,"(70.0, 315.0)",245.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.58134,0.78969,0.8637900000000001,,0.33632000000000006,,"(55.0, 175.0)",120.0
88,2,85.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.53759,0.64091,0.7015,,0.15486999999999984,,"(225.0, 2575.0)",2350.0
96,0,70.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70919,0.5540499999999999,0.50474,,0.09797999999999996,0.35850713501646514,"(85.0, 355.0)",270.0
96,1,55.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.76036,0.5642,0.50647,,0.11417999999999995,0.41778265642151446,"(65.0, 200.0)",135.0
96,2,120.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.62878,0.5323100000000001,0.50402,,0.07116,0.26037321624588355,"(270.0, 2980.0)",2730.0
108,0,170.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.88032,0.53803,,,0.43572,,"(290.0, 1585.0)",1295.0
108,1,210.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.9416100000000001,0.5495099999999999,,,0.49659,,"(245.0, 935.0)",690.0
108,2,230.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75981,0.5212600000000001,,,0.3297800000000001,,"(765.0, 10590.0)",9825.0
110,0,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.59859,0.5134799999999999,0.57527,0.62612,0.03135999999999972,0.39949044585986904,"(65.0, 290.0)",225.0
110,1,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.62242,0.51586,0.5949800000000001,0.66218,0.04061999999999988,0.5174522292993615,"(50.0, 165.0)",115.0
110,2,65.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5598000000000001,0.50724,0.54494,0.5781700000000001,0.019220000000000015,0.24484076433121038,"(195.0, 2325.0)",2130.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66637,0.65313,0.51883,0.85875,0.09675000000000022,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72034,0.69903,0.52738,0.909,0.14725999999999995,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.5998,0.59604,0.51302,0.74509,0.04553000000000007,0.7147566718995358,"(5.0, 50.0)",45.0
119,0,60.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.7033400000000001,0.51915,0.49968999999999997,0.64008,0.03204000000000007,0.04954383794649771,"(85.0, 340.0)",255.0
119,1,55.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.76848,0.52535,0.49961999999999995,0.67511,0.040349999999999664,0.06239369104685273,"(60.0, 185.0)",125.0
119,2,100.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.6276900000000001,0.51151,0.5012099999999999,0.58375,0.02139999999999964,0.03309107777949535,"(275.0, 2905.0)",2630.0
138,0,95.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.796,0.47426,0.86644,0.93936,0.21870999999999974,0.39125223613595655,"(135.0, 570.0)",435.0
138,1,95.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.8601300000000001,0.46955,0.9284,0.97611,0.2947900000000001,0.5273524150268337,"(105.0, 305.0)",200.0
138,2,145.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.69322,0.48609,0.74663,0.82456,0.10784000000000005,0.19291592128801438,"(400.0, 4730.0)",4330.0
141,0,70.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79311,0.69764,0.67721,,0.28883000000000003,0.44285495246856804,"(90.0, 380.0)",290.0
141,1,60.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.86181,0.7445999999999999,0.7262299999999999,,0.3929600000000001,0.6025145660840235,"(70.0, 210.0)",140.0
141,2,100.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.68832,0.6258600000000001,0.60966,,0.16530000000000022,0.25344986200552017,"(290.0, 3205.0)",2915.0
149,0,115.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.72538,0.70238,0.5072,,0.18008999999999986,,"(150.0, 565.0)",430.0
149,1,100.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.78762,0.75951,0.50724,,0.23896000000000006,,"(110.0, 305.0)",195.0
149,2,170.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.64235,0.62505,0.506,,0.11931999999999998,,"(500.0, 5126.25)",4650.0
154,0,80.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.73366,0.5839300000000001,0.54869,0.92152,0.11359999999999992,0.28084054388133484,"(100.0, 410.0)",310.0
154,1,80.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.79216,0.6077600000000001,0.56107,0.96529,0.15593999999999997,0.38551297898640297,"(75.0, 220.0)",145.0
154,2,120.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.64586,0.55612,0.52773,0.80332,0.05786000000000002,0.1430407911001237,"(325.0, 3525.0)",3200.0
158,0,45.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.71149,0.84104,,,0.5642199999999999,,"(65.0, 295.0)",230.0
158,1,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.76999,0.9082,,,0.6804300000000001,,"(50.0, 170.0)",120.0
158,2,65.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.63304,0.72758,,,0.40063000000000004,,"(185.0, 2315.0)",2130.0
175,0,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.65908,0.53792,0.69556,0.60604,0.05932000000000015,0.15626975763962106,"(70.0, 305.0)",235.0
175,1,45.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.70646,0.54869,0.73901,0.63947,0.08687999999999985,0.22887249736564766,"(55.0, 175.0)",120.0
175,2,75.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.59951,0.5244500000000001,0.61961,0.56438,0.029019999999999824,0.07644889357218078,"(225.0, 2615.0)",2390.0
176,0,110.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.5176000000000001,0.72766,0.6050800000000001,,0.1351,0.2742033691901766,"(130.0, 490.0)",360.0
176,1,90.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.5182899999999999,0.77913,0.64334,,0.17539000000000005,0.35597726811447145,"(95.0, 265.0)",170.0
176,2,160.0,60.19231379450125,"[3, 4, 1, 2, 5]",0.50956,0.64183,0.56521,,0.08946999999999983,0.18159123198701002,"(470.0, 4775.0)",4305.0
179,0,45.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.6817,0.51307,0.52301,0.80865,0.055929999999999924,0.09481268011527365,"(60.0, 270.0)",210.0
179,1,40.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.73254,0.5135799999999999,0.53149,0.8682300000000001,0.07565000000000022,0.12824207492795425,"(45.0, 155.0)",110.0
179,2,70.0,38.54362917499513,"[10, 2, 6, 1, 4]",0.61471,0.50571,0.51635,0.70287,0.032219999999999915,0.05461942702152893,"(195.0, 2200.0)",2005.0
180,0,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.6374299999999999,0.89803,,,0.54711,0.9695374800637958,"(65.0, 300.0)",235.0
180,1,40.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.67906,0.94279,,,0.62554,,"(50.0, 170.0)",120.0
180,2,45.0,41.013504492382864,"[1, 6, 4, 7, 5]",0.58182,0.77945,,,0.40454999999999997,0.7169059011164274,"(195.0, 2410.0)",2215.0
