id,Assumption,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,0,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.66228,0.6777599999999999,0.6199600000000001,,0.19279000000000002,0.7963238331268075,"(5.0, 25.0)",20.0
77,1,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.70947,0.72896,0.65354,,0.26574,,"(5.0, 15.0)",10.0
77,2,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.59867,0.61083,0.5732900000000001,,0.12249999999999994,0.5059892606361007,"(5.0, 125.0)",120.0
88,0,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.55917,0.7246900000000001,0.80706,,0.2502,,"(70.0, 310.0)",240.0
88,1,45.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.57867,0.785,0.86247,,0.33124,,"(55.0, 175.0)",120.0
88,2,70.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.53365,0.64051,0.69998,,0.15228999999999993,,"(225.0, 2560.0)",2335.0
96,0,65.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.70768,0.5496,0.50273,,0.09706000000000015,0.35514087083790746,"(85.0, 350.0)",265.0
96,1,55.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.7584299999999999,0.5637300000000001,0.5064,,0.11563000000000023,0.4230881814855477,"(65.0, 200.0)",135.0
96,2,75.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.62763,0.5310900000000001,0.50015,,0.0696699999999999,0.25492133186973975,"(265.0, 3015.0)",2715.0
108,0,180.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.87974,0.53889,,,0.4360099999999999,,"(290.0, 1590.0)",1300.0
108,1,170.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.94045,0.54913,,,0.49478,,"(245.0, 920.0)",675.0
108,2,130.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.75668,0.5231399999999999,,,0.33030000000000004,,"(750.0, 10280.0)",9530.0
110,0,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5922499999999999,0.51156,0.57431,0.62807,0.029440000000000133,0.37503184713375964,"(60.0, 285.0)",225.0
110,1,40.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.61684,0.5144500000000001,0.5958600000000001,0.6612199999999999,0.04107000000000005,0.5231847133757969,"(50.0, 165.0)",115.0
110,2,55.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5562199999999999,0.50433,0.5475,0.57681,0.018080000000000096,0.23031847133758085,"(195.0, 2290.0)",2095.0
111,0,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.66247,0.64733,0.52012,0.85965,0.0946300000000001,,"(0.0, 10.0)",10.0
111,1,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.72071,0.69655,0.52454,0.90697,0.14646999999999988,,"(0.0, 5.0)",5.0
111,2,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.5977399999999999,0.58999,0.51278,0.74071,0.04562999999999984,0.716326530612248,"(5.0, 50.0)",45.0
119,0,65.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.69992,0.51884,0.50169,0.63583,0.03096999999999983,0.04788928405752254,"(80.0, 340.0)",255.0
119,1,50.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.76503,0.5247299999999999,0.49978999999999996,0.6705099999999999,0.04058000000000006,0.06274934281738064,"(60.0, 185.0)",125.0
119,2,85.0,45.71913203599437,"[1, 2, 7, 6, 3]",0.6243099999999999,0.5092,0.5014700000000001,0.5826899999999999,0.020529999999999826,0.031745786299675005,"(275.0, 2920.0)",2645.0
138,0,90.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.79373,0.47356,0.86286,0.93682,0.21474999999999989,0.38416815742397115,"(135.0, 565.0)",430.0
138,1,90.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.85977,0.46921999999999997,0.92647,0.97552,0.29461000000000026,0.5270304114490165,"(105.0, 305.0)",200.0
138,2,75.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.69144,0.48466,0.74451,0.82356,0.1067999999999999,0.19105545617173503,"(400.0, 4760.0)",4290.0
141,0,75.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.79347,0.6956800000000001,0.67516,,0.28748000000000007,0.44078503526525625,"(90.0, 380.0)",285.0
141,1,60.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.86159,0.7424299999999999,0.71966,,0.38922,0.5967801287948483,"(70.0, 210.0)",140.0
141,2,90.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.69024,0.62128,0.60944,,0.1620799999999999,0.24851272615762024,"(290.0, 3155.0)",2865.0
