id,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght
77,5.0,4.676660682226212,"[1, 6, 2, 4, 10]",0.661384,0.678758,0.622281,,0.1946859999999998,0.8041553077240805,"(5.0, 25.0)",20.0
88,50.0,42.7768288061807,"[1, 2, 6, 4, 7]",0.5590040000000001,0.7250570000000001,0.8095829999999999,,0.252277,,"(70.0, 310.0)",240.0
96,60.0,47.52909118449099,"[1, 4, 6, 2, 5]",0.708163,0.5517639999999999,0.504644,,0.09770899999999993,0.35751555067691143,"(85.0, 355.0)",270.0
108,175.0,299.98953584551816,"[1, 3, 6, 7, 5]",0.880193,0.536791,,,0.4346390000000001,,"(290.0, 1580.0)",1290.0
110,45.0,40.213963950093344,"[7, 6, 2, 4, 1]",0.5952489999999999,0.511082,0.575153,0.628131,0.0303500000000001,0.3866242038216573,"(65.0, 290.0)",225.0
111,0.0,1.665693430656934,"[2, 1, 6, 4, 10]",0.664655,0.651728,0.519531,0.858419,0.09666700000000039,,"(0.0, 10.0)",10.0
119,65.0,45.71913203599437,"[1, 2, 6, 7, 3]",0.70164,0.518457,0.499344,0.6368480000000001,0.03127099999999994,0.04835472398329973,"(85.0, 340.0)",255.0
138,90.0,80.6780548211705,"[1, 10, 6, 2, 4]",0.794906,0.474896,0.864434,0.938202,0.21735799999999994,0.3888336314847941,"(135.0, 570.0)",435.0
141,65.0,50.58227123393115,"[1, 6, 5, 2, 4]",0.792889,0.6967300000000001,0.674299,,0.28746800000000006,0.4407666360012268,"(90.0, 380.0)",290.0
149,110.0,75.42889631269611,"[1, 6, 2, 4, 5]",0.725124,0.70128,0.506224,,0.17955699999999997,,"(145.0, 570.0)",420.0
154,70.0,54.65432891039514,"[1, 7, 6, 2, 4]",0.73127,0.584543,0.5443819999999999,0.92093,0.1117570000000001,0.27628430160692247,"(100.0, 410.0)",310.0
158,40.0,40.53861593209827,"[1, 6, 2, 7, 5]",0.709605,0.841241,,,0.5621959999999999,,"(65.0, 295.0)",230.0
175,50.0,41.567345923037564,"[1, 6, 4, 3, 2]",0.6569309999999999,0.538225,0.694795,0.605036,0.058426999999999896,0.15391728134878793,"(70.0, 305.0)",235.0
